che,gsubind,ebit,ebitda,revt,ggroup,naics,ppent,gvkey,emp,xsga,dlc,ivch,gsector,ceq,cogs,gind,dvt,xint,oibdp,isin,datadate,invt,loc,dltt,fyear,capx,xrd,lct,conm,dp,lt,ib,at,sale,sic,fincf,oancf,rect,seq,act,ivst,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,operating_margin,gross_margin,roc,current_ratio,quick_ratio,cash_ratio,cash_ratio_enhanced,working_capital_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,interest_coverage,net_debt_to_ebitda,debt_to_assets,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,capital_intensity,working_capital_turnover,inventory_turnover,asset_quality,capex_to_revenue,capex_to_depreciation,fcf,fcf_margin,reinvestment_rate,cash_conversion,financial_leverage,rnd_intensity,dividend_payout_ratio,retention_ratio,revenue_growth,asset_growth,employee_growth,fcf_growth,capex_growth,margin_trend,leverage_trend,capex_trend,fcf_trend,margin_volatility,leverage_volatility,cf_to_assets,cashflow_volatility,margin_consistency,growth_quality,ebit_outlier,ebitda_outlier,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,operating_margin_outlier,gross_margin_outlier,roc_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,cash_ratio_enhanced_outlier,working_capital_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,interest_coverage_outlier,net_debt_to_ebitda_outlier,debt_to_assets_outlier,asset_turnover_outlier,revenue_per_employee_outlier,receivables_turnover_outlier,days_sales_outstanding_outlier,capital_intensity_outlier,working_capital_turnover_outlier,inventory_turnover_outlier,asset_quality_outlier,capex_to_revenue_outlier,capex_to_depreciation_outlier,fcf_outlier,fcf_margin_outlier,reinvestment_rate_outlier,cash_conversion_outlier,financial_leverage_outlier,rnd_intensity_outlier,dividend_payout_ratio_outlier,retention_ratio_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,fcf_growth_outlier,capex_growth_outlier,margin_trend_outlier,leverage_trend_outlier,capex_trend_outlier,fcf_trend_outlier,margin_volatility_outlier,leverage_volatility_outlier,cashflow_volatility_outlier,margin_consistency_outlier,growth_quality_outlier,years_available,latest_year,cluster,cluster_name,static_score
153.0,15101010.0,436.0,533.0,3525.0,1510.0,324191.0,813.0,103200,6.781,697.0,60.0,2.0,15.0,1897.0,2222.0,151010.0,152.615,9.0,533.0,DE000A3E5D64,2024-12-31,567.0,DEU,52.0,2024.0,83.0,79.0,580.0,FUCHS SE,97.0,710.0,302.0,2610.0,3525.0,2990.0,-228.0,390.0,551.0,1897.0,1285.0,0.0,16.704980842911876,15.919873484449129,12.368794326241135,15.120567375886527,8.567375886524822,15.120567375886527,36.9645390070922,22.370446382760388,2.2155172413793105,1.2379310344827585,0.2637931034482759,0.2637931034482759,27.011494252873565,0.027411702688455455,0.05904059040590406,72.68199233716474,27.203065134099617,48.44444444444444,-0.07692307692307693,4.291187739463601,1.3505747126436782,519.8348326205574,6.397459165154265,57.05390070921986,23.06382978723404,5.0,3.9188712522045854,26.97318007662835,2.354609929078014,0.8556701030927835,307.0,8.709219858156029,21.28205128205128,89.44954128440367,1.3758566157090142,2.2411347517730498,50.534768211920536,49.465231788079464,-0.45184975995481436,7.71770532397853,8.115433673469386,-33.26086956521739,0.0,-0.500585552284974,0.0055430427954161,-0.10227467469361243,-0.23684786043372466,1.8049902090443215,0.028183022880020083,14.942528735632186,5.175547287786805,0.8460569672791028,-0.22120291987798313,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,3,Upper-Mid,24.428338728131397
407.009,30202010.0,253.274,356.161,1676.628,3020.0,111.0,623.634,102926,4.791,464.725,56.737,,30.0,1601.531,516.311,302020.0,41.25,11.651,356.161,DE0007074007,2025-06-30,420.328,DEU,426.798,2025.0,108.116,348.951,521.392,KWS SAAT SE & CO KGAA,102.887,1074.69,139.98,2676.221,1676.628,100.0,-236.849,226.537,603.264,1601.531,1550.007,33.022,9.463867146995709,8.740386542627023,15.106153541513084,21.242696650658345,8.34890029273041,21.242696650658345,69.20539320588705,12.486830292324372,2.972824669346672,2.166659634209961,0.7806199558105993,0.8439542609015864,38.4353534330685,0.26649374879412263,0.3019204748456321,59.843002502409185,40.15699749759082,21.738391554373017,0.2148635027417376,18.06782773171573,0.6264908615544083,349.95366311834687,2.779260821133036,131.32988355198648,37.195728569485894,1.6299859519839783,1.228352619858777,37.74998402598291,6.44841908879012,1.0508227472858573,118.421,7.063045589122931,47.725537108728375,89.44344859717145,1.6710391494139045,20.81266685275446,29.468495499357054,70.53150450064294,-0.08878994206604762,-9.467631769365848,3.7462104807275853,-6141.887755102017,-20.537997942084374,0.34305048544131467,0.02442768772756635,0.0026673672731636717,0.2807733865456231,2.4249338116019827,0.18664624453625198,8.464809146927701,1.934299544562904,0.2601714579267073,0.05452210288460373,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12,True,3,Upper-Mid,41.53598638178244
137.938,20106020.0,237.066,307.915,2235.785,2010.0,3335.0,456.516,101937,7.498,662.307,35.149,4.81,20.0,1419.503,1073.407,201060.0,,12.437,307.915,DE0005878003,2024-12-31,714.117,DEU,39.285,2024.0,37.147,85.737,964.615,DMG MORI AG,70.849,1094.563,170.43,2544.259,2235.785,3540.0,-176.324,171.974,709.185,1419.503,1642.446,1.774,9.317683459113244,12.006314886266532,10.603255679772431,13.772120306737904,7.622825987293054,13.772120306737904,51.98970384003828,16.25088772323326,1.7026958942168635,0.9623829196104144,0.14299798365150862,0.14483705934491997,26.641587982984433,0.02767517927049115,0.052436662691096814,55.79239377752029,43.0208952783502,19.06134919996784,-0.20623873471574944,2.92556693324068,0.8787568404002893,298.18418244865296,3.152611800870013,115.77702015175878,20.41860017846081,3.298440171665209,1.5031248380867561,33.29547031178822,1.661474605116324,0.5243122697568067,134.827,6.0304099007731065,21.600358193680442,72.54266744282182,1.7923590157963738,3.8347604979906387,0.0,100.0,-10.989016676433872,-8.07479290932811,-0.22621423819028097,12.482376006340456,-47.39353943324883,0.16743301524572757,0.00034554890007888414,-0.2301677019405922,0.49366690707914274,1.8554738142197378,0.015856381169796863,6.759296125119336,2.103300434638087,0.08957054621112989,0.34221558686317843,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,3,Upper-Mid,56.511598497729864
369.3,20106020.0,243.2,334.1,2967.4,2010.0,3339.0,667.8,101390,,1026.1,20.8,1.3,20.0,1092.5,1359.5,201060.0,46.635,20.5,334.1,DE0006292030,2024-12-31,764.8,DEU,37.5,2024.0,135.0,69.0,983.0,KSB SE & CO KGAA,90.9,1532.5,118.1,2867.9,2967.4,3560.0,-88.8,268.6,784.8,1092.5,1938.0,0.0,8.480072526936084,10.810068649885583,8.195726898968795,11.259014625598168,3.9799150771719347,11.259014625598168,54.18548224034508,21.522123893805308,1.9715157680569684,1.1934893184130213,0.37568667344862666,0.37568667344862666,33.299626904703786,0.034324942791762014,0.05336384439359267,38.0940758045957,53.4363122842498,11.863414634146341,-0.9308590242442382,2.0328463335541684,1.0346943756755815,,3.7810907237512748,96.53299184471253,22.504549437217765,3.1072251308900523,1.7775889121338913,40.24198891174727,4.549437217766394,1.4851485148514851,133.60000000000002,4.5022578688414105,50.26061057334326,110.44407894736842,2.6250800915331807,2.3252679113028236,39.48772226926334,60.51227773073666,5.1916253655244216,7.419266998998819,,-23.149048279194417,26.806999746386005,0.4410495948978004,-0.02547266617184261,0.07613679636297159,0.2430585178199154,1.8354355116224006,0.09722052204035422,9.365737996443391,3.0125366934278937,0.635168979838396,-0.3195692048150439,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,3,Upper-Mid,49.53500923852603
442.483,20106020.0,375.33,513.295,5352.733,2010.0,333993.0,832.211,103269,19.788,1587.532,42.073,2.973,20.0,1921.706,2665.788,201060.0,82.142,10.421,513.295,DE0006335003,2024-12-31,664.752,DEU,94.55,2024.0,120.727,219.539,2392.927,KRONES AG,137.965,2827.932,276.919,4749.469,5352.733,3560.0,-114.995,452.17,1910.958,1921.706,3198.498,0.0,7.90256763440292,14.410060644031915,7.011932035466742,9.589400405363016,5.173413282523152,9.589400405363016,50.197628015445574,18.615195689436263,1.3366467092393541,1.0588480133326257,0.18491287030486095,0.18491287030486095,16.96128556687074,0.049201074461962445,0.07109464194835213,40.46149158990195,59.54206670261454,36.01669705402553,-0.5958756660399965,2.87659525728034,1.1270171465483827,270.50399231857693,2.8010730743428165,130.307203815322,15.547403541331128,6.644644606124104,4.01019929236768,49.55166567041495,2.2554272742541053,0.8750552676403436,331.443,6.192033116540652,26.699471437733596,120.47265073402073,2.47148575276343,4.101437527334166,29.662825591598992,70.33717440840101,12.32308441606813,6.083389973306419,6.887052341597788,1528.9526711554522,2.9435088467277826,-0.12255632355370764,0.00998748349980334,0.022541713268301386,0.21021302451786922,1.9361907124627618,0.04549506508788372,9.520432705213993,3.7945051787778494,0.044072518531728284,0.8244201419566822,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11,True,3,Upper-Mid,42.40749620863609
163.577,20304040.0,514.314,737.268,4002.172,2030.0,5321.0,1124.128,103533,7.864,983.991,327.736,0.003,20.0,2128.658,886.577,203040.0,127.078,154.362,737.268,DE0007231326,2024-12-31,175.534,DEU,2757.739,2024.0,89.925,10.105,1595.496,SIXT SE,222.954,4421.998,243.913,6550.656,4002.172,7510.0,-832.872,1079.847,693.228,2128.658,5240.0,0.0,7.851335805146843,11.458533968350013,12.85087197651675,18.421697018518945,6.094515677986853,18.421697018518945,77.84760375116312,10.525423947337885,3.2842451500975245,3.1742266981553073,0.10252423070944709,0.10252423070944709,55.63571037770873,1.2955293898785056,1.4494930608862486,32.495340924634114,67.50465907536588,3.3318692424301317,3.9631423037484335,47.10177118139008,0.6109574369345605,508.92319430315365,5.773240550006636,63.222725060292255,28.08794824410345,1.0981390060211211,5.050742306333816,13.07968240127401,2.246904930622672,0.40333432008396347,989.922,24.734619101827708,8.327568627777824,209.9587022713751,3.077364236058587,0.25248789907080454,52.09972408194725,47.90027591805275,10.54169455178815,1.5664001758860957,-9.97137950772753,-754.143566090226,46.78756814991347,0.591288928605766,-0.07683017051151256,-0.1037442110480408,2.9388099158284624,5.450365938236021,0.3931101754976629,16.48456276745413,8.727931700986776,0.12946156599137126,0.31510746201486417,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,11,True,3,Upper-Mid,20.59845295315985
8.3,50102010.0,590.688,872.141,4064.254,5010.0,517.0,801.586,326410,3.281,545.326,20.218,,50.0,6093.97,2561.735,501020.0,8.8,20.477,872.141,DE0005545503,2024-12-31,119.568,DEU,392.741,2024.0,290.956,,730.556,1&1 AG,281.453,2036.103,212.764,8130.073,4064.254,4813.0,-129.677,311.418,1382.958,6093.97,1844.042,4.161,7.265469818044684,3.491385746894061,14.53373731070942,21.458821225248226,5.235007457703185,21.458821225248226,36.96912151651939,9.106124814254866,2.5241624187605054,2.360495293995258,0.011361209818275396,0.01705687175247346,13.695891783505509,0.06444747840898461,0.06776518427232166,74.95590752998159,25.044092470018413,28.84641304878644,0.4639834613898441,5.079400886068305,0.4999037524017312,1238.7241694605302,2.938812313895288,124.19983347497475,19.722832283612195,3.6500270322213306,21.4249213836478,17.112490871853183,7.158902962265647,1.0337640742859378,20.46199999999999,0.503462628073934,93.42940998914642,52.72123354461239,1.3341176605726643,,4.1360380515500745,95.86396194844993,-0.7920275363029972,5.035550274110623,-1.1746987951807175,-129.17100292251763,-1.6133122778778985,0.17617649291895807,0.1694473200119703,0.9389856741287159,-1.3252129635961196,2.677655973876076,0.8203732220725649,3.830445310884662,2.8639220354942614,0.032467408723126624,-0.014924651183731628,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9,True,3,Upper-Mid,40.64906767835049
1323.153,20106015.0,359.398,473.446,4997.427,2010.0,3312.0,755.414,210332,11.905,542.325,105.235,,20.0,2260.313,3776.884,201060.0,,59.251,473.446,,2024-09-30,1376.085,DEU,717.038,2024.0,142.634,300.07,1623.759,CLAAS KG,114.048,2716.064,252.767,4983.088,4997.427,3310.0,-142.791,424.686,545.587,2260.313,3509.758,609.855,7.212355069788052,11.182831758256489,7.19166082866243,9.473795215017649,5.057942817373821,9.473795215017649,24.42342829620122,12.071065856864038,2.161501799220204,1.314033055397999,0.8148703101876572,1.190452524050675,37.84799706527358,0.3172295164430767,0.36378722769811084,45.35968459718151,54.50563987631766,6.065686655077552,-1.057945362301086,16.50127390886936,1.0028775329675093,419.77547249055016,9.159725213394013,39.84835696449393,15.116058723819279,2.649750609623865,2.7446589418531557,37.50164556596231,2.854148744944148,1.2506488496071828,282.052,5.643944373774746,33.58575512260823,118.16593303245982,2.2046008672250257,6.004489910507948,0.0,100.0,-18.6687387521983,-3.312746018924606,,85.19379386872052,4.145096636170464,0.23266940049949655,-0.024025591652146554,-0.011950839729509433,0.4422914798358045,1.5606331645909395,0.09934033432402803,8.52254666182897,4.332754157635812,0.24449476424472993,-0.07960969337146147,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,3,Upper-Mid,50.851262038538515
684.943,15101050.0,288.839,468.383,3168.838,1510.0,325.0,1219.89,100004,8.382,575.095,28.917,3.088,15.0,3005.005,1909.906,151010.0,,53.735,468.383,DE0007600801,2024-12-31,626.463,DEU,420.534,2024.0,179.539,213.23,646.347,ALTANA AG,179.544,1430.794,161.329,4460.234,3168.838,2800.0,-95.191,438.997,559.556,3005.005,2117.433,126.731,6.475870996902852,5.368676591220314,9.114981579998723,14.780907070667542,5.091109106871351,14.780907070667542,39.72850615904001,8.431928522781378,3.276000352751695,2.3067640137573164,1.0597140545248915,1.2557867523172537,32.982260571978955,0.13994452588265244,0.14956747160154477,67.37325889179805,32.07889989628347,5.375248906671629,-0.502776573872237,10.076847986002528,0.7104645182293127,378.0527320448581,5.66312933826105,64.45199786167674,38.496445700285086,2.1540807267556077,3.048713172206499,27.90210110052522,5.665767704123719,0.9999721516731274,259.458,8.187796283685062,40.89754599689746,151.9867469420681,1.4842684121989815,6.72896500231315,0.0,100.0,15.58711150586447,7.722761277389667,14.570803717878622,-1.9262608011974658,21.080246289140202,-0.6327483285192008,-0.005988329583724867,0.19637177923485444,-0.6761885055462092,2.4440278110633824,0.06366105700483804,9.842465664357519,2.210320931129537,0.7372969057825468,-0.763409682844701,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,3,Upper-Mid,59.50334581773843
427.034,15104050.0,200.78,257.102,2287.461,1510.0,332322.0,546.86,210340,,306.257,30.518,,15.0,1918.972,1597.617,151040.0,,24.218,257.102,,2024-12-31,629.266,DEU,76.047,2024.0,129.731,,592.104,DILLINGER HUTTENWERKE,56.322,1364.71,175.0,3283.682,2287.461,3444.0,-163.99,80.317,345.856,1918.972,1436.768,200.1,6.1144775894864365,9.119466047446236,8.777417407335033,11.239623320353877,7.650403657155248,11.239623320353877,30.157628916952024,10.06406455276867,2.426546687744045,1.363784064961561,0.721214516368746,1.0591619039898397,25.7230754987846,0.0396290305434368,0.0555323371054919,58.43964184107963,41.56035815892039,8.290527706664465,-1.2464663829919644,3.2452898910430426,0.6966146539159395,,6.613911570133234,55.186707008338075,23.906855679725254,2.708131280603885,2.5388579710329178,23.53729746059454,5.671397239122329,2.3033805617698233,-49.414,-2.1602116932266826,161.5237122900507,40.00249028787727,1.7111672291205915,,0.0,100.0,-12.515756993504457,3.2837927820787094,,-116.48490590586249,58.737014695265934,0.7012634716984315,-0.0026104661303392707,-0.32588238893138993,0.30546853907366694,6.604694185805702,0.032352501240949516,2.4459433038887446,3.7684579077865705,0.124007997077796,0.06795846578236642,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,3,Upper-Mid,64.31227979221151
