lct,sic,seq,naics,dlc,cogs,conm,lt,dp,gsector,oibdp,ebit,dltt,at,emp,loc,gvkey,oancf,ppent,act,gind,ceq,sale,ib,che,invt,xsga,isin,rect,gsubind,revt,ebitda,datadate,fyear,ggroup,roa,roe,ebit_margin,ebitda_margin,net_profit_margin,current_ratio,quick_ratio,cash_ratio,debt_to_equity,total_debt_to_equity,equity_ratio,debt_ratio,asset_turnover,revenue_per_employee,receivables_turnover,days_sales_outstanding,revenue_growth,asset_growth,employee_growth,roa_outlier,roe_outlier,ebit_margin_outlier,ebitda_margin_outlier,net_profit_margin_outlier,current_ratio_outlier,quick_ratio_outlier,cash_ratio_outlier,debt_to_equity_outlier,total_debt_to_equity_outlier,equity_ratio_outlier,debt_ratio_outlier,asset_turnover_outlier,receivables_turnover_outlier,revenue_growth_outlier,asset_growth_outlier,employee_growth_outlier,years_available,latest_year,cluster,cluster_name
516.885,7310.0,522.579,5418.0,32.191,1003.599,GFK SE,1182.716,42.334,25.0,159.909,117.575,451.004,1720.885,13.069,DEU,231081,146.203,92.489,655.424,254010.0,522.579,1483.814,-140.555,179.047,0.0,288.739,DE0005875306,450.346,25401010.0,1483.814,159.909,2016-12-31,2016.0,2540.0,6.832240387939927,-26.89641183438294,7.923836815126424,10.776889825813745,-9.47254844609904,1.2680267370885205,1.2680267370885205,0.3463962003153506,0.8630350626412467,0.9246353182963726,30.36687518340853,68.7271955999384,0.8622389061442224,113.53691942765322,3.29483108543209,110.77957884209206,-3.8623166902721495,-6.590454002901803,-3.084909158324056,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,True,2,Lower-Mid
513.5,3490.0,726.1,336510.0,61.1,826.1,VOSSLOH AG,738.9,54.3,20.0,150.3,96.0,170.5,1490.8,4.321,DEU,209440,136.4,307.2,666.9,201060.0,726.1,1209.6,69.2,95.0,246.9,230.0,DE0007667107,307.1,20106010.0,1209.6,150.3,2024-12-31,2024.0,2010.0,6.439495572846794,9.530367717945188,7.936507936507938,12.425595238095239,5.720899470899472,1.29873417721519,0.8179162609542356,0.18500486854917234,0.2348161410274067,0.3189643299820961,48.70539307754226,49.56399248725516,0.811376442178696,279.9352001851423,3.938782155649625,92.66823743386244,-0.38705426994977143,7.043871616284902,7.567836694050278,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
1183.935,5211.0,1955.338,444110.0,391.42,3819.492,HORNBACH HOLDING AG & CO,2580.721,219.941,25.0,488.333,268.392,1301.439,4614.193,19.916,DEU,203162,318.417,2706.083,1779.927,255040.0,1955.338,6199.989,140.679,317.385,1266.089,1907.324,DE0006083405,195.558,25504030.0,6199.989,488.333,2025-02-28,2024.0,2550.0,5.816661765123392,7.194612900685201,4.328910906132253,7.876352683851537,2.2690201547131776,1.5033992575605923,0.43400862378424493,0.26807637243598675,0.665582625612554,0.8657628502079948,42.37659759788981,55.93006187647547,1.3436778652301713,311.3069391444065,31.70409290338416,11.512709135451692,0.634697671730966,3.0626922851844984,52.426144191030154,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,12,True,2,Lower-Mid
9357.0,4833.0,13532.0,515120.0,1125.0,13852.0,BERTELSMANN SE & CO KGAA,17301.0,781.0,50.0,2462.0,1681.0,5832.0,32951.0,74.607,DEU,103255,2172.0,2915.0,12565.0,502010.0,13532.0,18988.0,784.0,2450.0,883.0,479.0,DE0005229900,5548.0,50201020.0,18988.0,2462.0,2024-12-31,2024.0,5020.0,5.101514369821857,5.793674253621046,8.852959764061513,12.966083842426796,4.128923530650938,1.3428449289302127,1.248477075985893,0.26183605856577963,0.4309784215193615,0.5141146911025717,41.067038936602835,52.50523504597736,0.5762495827137264,254.50694975002347,3.4224945926459984,106.64735622498421,-5.855520848827411,1.0085218564159115,-7.22599418040738,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
1107.509,5211.0,1670.35,444110.0,382.419,3478.644,HORNBACH-BAUMARKT AG,2723.727,299.728,25.0,519.867,220.139,1549.617,4394.077,24.145,DEU,223089,293.846,2552.384,1666.76,255040.0,1670.35,5847.008,115.342,301.138,1199.091,1866.56,DE0006084403,133.852,25504030.0,5847.008,519.867,2025-02-28,2024.0,2550.0,5.0099031036552155,6.905259376777323,3.764985442126982,8.891162796425112,1.9726670461199987,1.5049629393530888,0.422271060551201,0.2719056910598469,0.9277199389349537,1.1566653695333315,38.01367158563676,61.986328414363236,1.3306566999167286,242.16226962103954,43.6826345515943,8.35572313224131,1.1598855149173026,3.2473713383834646,2.530893031551229,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,12,True,2,Lower-Mid
5660.06,8090.0,14576.563,621492.0,1243.582,13096.417,FRESENIUS MEDICAL CARE AG,17798.066,1482.84,35.0,3022.214,1539.374,9760.642,33566.579,111.513,DEU,212782,2386.144,7258.582,7922.744,351020.0,14576.563,19335.909,537.913,1343.28,2067.922,3142.819,DE0005785802,3876.019,35102015.0,19335.909,3022.214,2024-12-31,2024.0,3510.0,4.5860318383949705,3.6902594939561544,7.9612186838487915,15.630059078163846,2.7819379993979076,1.3997632533930735,1.03440988258075,0.23732610608368107,0.6696120340576855,0.7549258353975488,43.425822452743844,53.02317522438018,0.5760464597837033,173.3960076403648,4.988600159080748,73.16681801719278,-0.6050699980368668,-1.0705306673117643,-6.952313404814547,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
3143.8,3714.0,2851.3,336350.0,42.5,7350.2,VITESCO TECHNOLOGIES GROUP,4731.8,470.7,25.0,796.1,325.4,672.4,7583.1,35.528,DEU,350278,629.0,1842.7,3815.2,251010.0,2851.3,9233.2,-96.4,1063.6,825.1,403.2,DE000VTSC017,1828.1,25101010.0,9233.2,796.1,2023-12-31,2023.0,2510.0,4.2911210454827176,-3.3809139690667416,3.5242386171641464,8.622146168175714,-1.044058397955205,1.2135632037661428,0.9511101215090018,0.3383166868121381,0.23582225651457228,0.2507277382246694,37.60071738471074,62.399282615289266,1.2176022998509846,259.8851609997749,5.050708385755703,72.26709049950179,1.7993384785005562,-0.27092073595749167,-6.610940251820308,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,True,2,Lower-Mid
4059.0,2800.0,9020.0,325.0,837.0,10212.0,EVONIK INDUSTRIES AG,10650.0,1036.0,15.0,1870.0,834.0,2944.0,19750.0,30.669,DEU,295421,1713.0,6461.0,5508.0,151010.0,9020.0,15157.0,222.0,618.0,2662.0,2624.0,DE000EVNK013,2056.0,15101050.0,15157.0,1870.0,2024-12-31,2024.0,1510.0,4.222784810126582,2.46119733924612,5.502408128257571,12.33753381275978,1.4646697895361878,1.3569844789356984,0.7011579206701158,0.15225424981522542,0.3263858093126386,0.41917960088691797,45.67088607594937,53.92405063291139,0.7674430379746835,494.21239688284584,7.372081712062257,49.511116975654815,-0.7205082858452894,-0.9528585757271779,-4.9288570631451645,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
9009.0,8090.0,19542.0,6214.0,2772.0,15319.0,FRESENIUS SE & CO KGAA,23260.0,1136.0,35.0,2921.0,1785.0,10805.0,43550.0,176.486,DEU,202305,2447.0,9890.0,11446.0,351020.0,19542.0,21833.0,1042.0,2290.0,2573.0,2919.0,DE0005785604,5513.0,35102015.0,21833.0,2921.0,2024-12-31,2024.0,3510.0,4.09873708381171,5.332105209292806,8.17569733889067,13.378830211148262,4.772591947968671,1.2705072705072704,0.9849039849039849,0.2541902541902542,0.552911677412752,0.6947600040937468,44.87256027554535,53.40987370838117,0.5013318025258324,123.70952936776855,3.9602757119535643,92.16530023359135,-2.0897798107538446,-3.8291670347142426,-8.964485595646465,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11,True,2,Lower-Mid
2621.545,3714.0,3200.43,3363.0,162.522,5780.268,HELLA GMBH & CO. KGAA,4235.918,487.995,25.0,775.765,287.77,1040.789,7483.219,38.485,DEU,318659,854.141,2323.492,3890.616,251010.0,3200.43,8024.792,353.104,1401.52,1118.106,641.572,DE000A13SX22,1241.512,25101010.0,8024.792,775.765,2024-12-31,2024.0,2510.0,3.84553759551872,11.03301743828173,3.5860119489701416,9.667104144256946,4.400163892098387,1.4840927773507606,1.0575862706915198,0.534616037489343,0.3252028633652353,0.37598416462787815,42.76809218065113,56.60555971968747,1.0723716625158237,208.5173963882032,6.463724877407548,56.46898760740465,0.8882291626462369,5.969927116121965,1.8849442723638532,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,True,2,Lower-Mid
